CPTCode,Total,TC27,PC26
78282,166.23,124.67,41.56
78290,249.00,186.75,62.25
78291,268.68,201.51,67.17
78299,BR,BR,BR
78300,210.33,147.23,63.10
78305,301.25,210.87,90.38
78306,340.59,238.41,102.18
78315,386.06,270.24,115.82
78320,456.62,319.63,136.99
78350,67.17,47.02,20.15
78351,31.89,22.32,9.57
78399,BR,BR,BR
78414,257.13,179.99,77.14
78428,211.68,148.18,63.50
78445,160.80,112.56,48.24
78451,407.01,281.77,125.24
78452,692.84,544.76,148.08
78453,353.62,262.80,90.83
78454,341.43,220.91,120.52
78456,365.44,274.16,91.28
78457,234.75,164.32,70.43
78458,328.38,229.87,98.51
78459,BR,BR,BR
78466,225.26,157.68,67.58
78468,297.84,208.49,89.35
78469,403.70,282.59,121.11
78472,426.75,298.72,128.03
78473,639.12,447.38,191.74
78481,409.80,286.86,122.94
78483,615.38,430.77,184.61
78491,BR,BR,BR
78492,BR,BR,BR
78494,471.20,368.29,102.91
78496,157.05,110.40,46.65
78499,BR,BR,BR
,,,
78580,278.85,209.14,69.71
,,,
,,,
,,,
78599,BR,BR,BR
78600,216.44,162.33,54.11
78601,255.11,191.33,63.78
78605,257.13,192.85,64.28
78606,295.14,221.35,73.79
78607,512.93,384.70,128.23
78608,BR,BR,BR
78609,BR,BR,BR
78610,124.17,93.13,31.04
78630,370.44,277.83,92.61
78635,212.37,159.28,53.09
78645,262.56,196.92,65.64
78647,443.72,332.79,110.93
78650,339.24,254.43,84.81
78660,179.79,134.84,44.95
78699,BR,BR,BR
78700,226.62,158.63,67.99
78701,261.90,183.33,78.57
78707,359.58,251.71,107.87
78708,398.47,291.18,107.29
78709,412.29,291.18,120.11
78710,420.66,294.46,126.20
78725,144.51,101.16,43.35
78730,122.13,85.49,36.64
78740,183.18,128.23,54.95
78761,261.90,183.33,78.57
78799,BR,BR,BR
78800,267.99,200.99,67.00
78801,331.77,248.83,82.94
78802,417.26,312.94,104.32
78803,500.04,375.03,125.01
78804,411.19,305.86,105.33
78805,275.46,206.59,68.87
78806,470.87,353.15,117.72
78807,500.04,375.03,125.01
78808,84.67,,
78811,BR,BR,BR
78812,BR,BR,BR
78813,BR,BR,BR
78814,BR,BR,BR
78815,BR,BR,BR
78816,BR,BR,BR
78999,BR,BR,BR
79005,365.40,186.67,178.73
79101,382.10,186.67,195.43
79200,348.74,139.50,209.24
79300,203.55,81.42,122.13
79403,529.12,298.63,230.50
79440,348.74,139.50,209.24
79445,427.94,187.63,240.31
79999,BR,BR,BR
