CPTCode,Total,OFF,FAC,TC27,PC26,FUD
33768,875.77, , , , ,0
33770,5623.24, , , , ,90
33771,5719.94, , , , ,90
33774,4799.26, , , , ,90
33775,4895.16, , , , ,90
33776,5328.27, , , , ,90
33777,4991.85, , , , ,90
33778,6028.73, , , , ,90
33779,6048.24, , , , ,90
33780,6105.12, , , , ,90
33781,6066.93, , , , ,90
33782, , ,"$6,234.94", , ,90
33783, , ,"$6,739.62", , ,90
33786,5719.94, , , , ,90
33788,4357.21, , , , ,90
33800,2324.87, , , , ,90
33802,3083.84, , , , ,90
33803,3237.43, , , , ,90
33813,3314.62, , , , ,90
33814,4353.95, , , , ,90
33820,3006.65, , , , ,90
33822,3083.84, , , , ,90
33824,3237.43, , , , ,90
33840,4033.79, , , , ,90
33845,4149.99, , , , ,90
33851,4072.78, , , , ,90
33852,4264.57, , , , ,90
33853,5489.16, , , , ,90
33860,5232.38, , , , ,90
33863,5540.37, , , , ,90
33864, , ,"$5,935.83", , ,90
33870,6516.30, , , , ,90
33875,4618.87, , , , ,90
33877,6713.77, , , , ,90
33880,3683.51, , , , ,90
33881,3163.01, , , , ,90
33883,2327.80, , , , ,90
33884,868.43, , , , ,0
33886,2009.14, , , , ,90
33889,1724.03, , , , ,0
33891,2198.60, , , , ,0
33910,2897.76, , , , ,90
33915,2446.77, , , , ,90
33916,3317.88, , , , ,90
33917,4621.30, , , , ,90
33920,5527.35, , , , ,90
33922,3801.38, , , , ,90
33924,705.98, , , , ,0
33925,3588.66, , , , ,90
33926,4862.09, , , , ,90
33930,BR, , , , ,0
33933,BR, , , , ,0
33935,9639.15, , , , ,90
33940,BR, , , , ,0
33944,BR, , , , ,0
33945,8274.79, , , , ,90
33946,,$633.26,$633.26, , ,0
33947,,$699.45,$699.45, , ,0
33948,,$500.70,$500.70, , ,0
33951,,$902.26,$902.26, , ,0
33952,,$878.45,$878.45, , ,0
33953,,"$1,006.78","$1,006.78", , ,0
33954,,$981.34,$981.34, , ,0
33955,,"$1,816.76","$1,816.76", , ,0
33956,,"$1,720.86","$1,720.86", , ,0
33957,,$403.43,$403.43, , ,0
33958,,$390.41,$390.41, , ,0
33959,,$512.49,$512.49, , ,0
33962,,$481.67,$481.67, , ,0
33963,,"$1,023.82","$1,023.82", , ,0
33964,,"$1,048.68","$1,048.68", , ,0
33965,,$403.43,$403.43, , ,0
33966,,$485.13,$485.13, , ,0
33967, ,502.33,498.87, , ,15
33968,74.37, , , , ,0
33969,,$594.95,$594.95, , ,0
33970,1225.41, , , , ,15
33971,729.71, , , , ,15
33973,1359.50, , , , ,15
33974,1441.57, , , , ,15
33975,2679.17, , , , ,15
33976,3651.04, , , , ,15
33977,2344.38, , , , ,15
33978,2679.17, , , , ,15
33979,BR, , , , ,15
33980,BR, , , , ,15
33981,BR, , , , , 
33982,BR, , , , , 
33983,BR, , , , , 
33984,,$584.53,$584.53, , ,0
33985,,"$1,120.45","$1,120.45", , ,0
33986,,"$1,065.86","$1,065.86", , ,0
33987,,$427.57,$427.57, , ,0
33988,,"$1,590.20","$1,590.20", , ,0
33989,,"$1,010.97","$1,010.97", , ,0
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
33999,BR, , , , ,0
34001,1691.86, , , , ,45
34051,1777.18, , , , ,45
34101,1361.12, , , , ,45
34111,1179.91, , , , ,45
34151,2163.97, , , , ,45
34201,1350.56, , , , ,45
34203,1566.71, , , , ,45
34401,1560.20, , , , ,90
34421,1301.80, , , , ,90
34451,1895.82, , , , ,90
34471,996.26, , , , ,90
34490,1101.89, , , , ,90
34501,1337.56, , , , ,45
34502,3521.03, , , , ,90
34510,1617.90, , , , ,45
34520,1697.54, , , , ,45
34530,2247.67, , , , ,45
34800,2360.53, , , , ,90
34802,2605.18, , , , ,90
34803,2710.38, , , , ,90
34804,2605.18, , , , ,90
34805,2452.59, , , , ,90
34806,$193.83, , , , , 
34808,448.75, , , , ,90
34812,734.37, , , , ,90
34813,521.86, , , , ,90
34820,1060.41, , , , ,90
34825,1409.53, , , , ,90
34826,448.75, , , , ,90
34830,3674.11, , , , ,90
34831,3972.15, , , , ,90
34832,3972.15, , , , ,90
34833,1264.96, , , , ,0
34834,590.31, , , , ,0
34839,BR, , , , ,
34841,BR, , , , ,0
34842,BR, , , , ,0
34843,BR, , , , ,0
34844,BR, , , , ,0
34845,BR, , , , ,0
34846,BR, , , , ,0
34847,BR, , , , ,0
34848,BR, , , , ,0
34900,1852.52, , , , ,90
35001,2710.86, , , , ,90
35002,2545.89, , , , ,90
35005,2142.85, , , , ,90
35011,1900.70, , , , ,90
35013,2445.14, , , , ,90
35021,2830.32, , , , ,90
35022,2852.26, , , , ,90
35045,1782.04, , , , ,90
35081,3469.84, , , , ,90
35082,4117.49, , , , ,90
35091,4031.36, , , , ,90
35092,4956.92, , , , ,90
35102,3628.30, , , , ,90
35103,4574.17, , , , ,90
35111,2614.96, , , , ,90
35112,2215.98, , , , ,90
35121,3479.59, , , , ,90
35122,3984.23, , , , ,90
35131,2618.22, , , , ,90
35132,3107.41, , , , ,90
35141,2228.98, , , , ,90
35142,2450.02, , , , ,90
35151,2475.21, , , , ,90
35152,1968.14, , , , ,90
35180,1552.09, , , , ,90
35182,2111.15, , , , ,90
35184,1634.96, , , , ,90
35188,1684.54, , , , ,90
35189,2259.86, , , , ,90
35190,1764.16, , , , ,90
35201,1509.84, , , , ,45
35206,1487.07, , , , ,45
35207,1576.46, , , , ,45
35211,2662.92, , , , ,90
35216,2207.85, , , , ,90
35221,2083.53, , , , ,90
35226,1468.39, , , , ,90
35231,1963.26, , , , ,90
35236,1713.80, , , , ,90
35241,2750.68, , , , ,90
35246,2753.93, , , , ,90
35251,2042.08, , , , ,90
35256,1795.04, , , , ,90
35261,1879.56, , , , ,90
35266,1650.41, , , , ,90
35271,2599.53, , , , ,90
35276,2226.55, , , , ,90
35281,2580.03, , , , ,90
35286,1792.61, , , , ,90
35301,2419.14, , , , ,45
35302,"$2,153.96", , , , ,90
35303,"$2,367.17", , , , ,90
35304,"$2,462.81", , , , ,90
35305,"$2,367.17", , , , ,90
35306,$886.75, , , , ,0
35311,3565.72, , , , ,90
35321,1920.19, , , , ,45
35331,2819.75, , , , ,90
35341,3266.69, , , , ,90
35351,2713.31, , , , ,90
35355,2429.71, , , , ,90
35361,3306.51, , , , ,90
35363,3654.30, , , , ,90
35371,1834.06, , , , ,90
35372,1871.43, , , , ,90
35390,387.61, , , , ,0
35400,369.40, , , , ,0
35450,1573.08, , , , ,45
35452,886.56, , , , ,45
35458,1557.77, , , , ,15
35460,733.79, , , , ,15
35471,1573.08, , , , ,15
35472,736.61, , , , ,45
35475,1367.00, , , , ,15
35476,643.91, , , , ,15
35500,BR, , , , ,90
35501,2983.09, , , , ,90
35506,2974.95, , , , ,90
35508,2809.18, , , , ,90
35509,2843.32, , , , ,90
35510,2594.82, , , , ,90
35511,2045.33, , , , ,90
35512,2544.18, , , , ,90
35515,2254.98, , , , ,90
35516,2574.34, , , , ,90
35518,2510.95, , , , ,90
35521,2572.71, , , , ,90
35522,2468.64, , , , ,90
35523, , ,"$2,431.64", , ,90
35525,2353.80, , , , ,90
35526,2506.90, , , , ,90
35531,3531.60, , , , ,90
35533,3211.44, , , , ,90
35535, , ,"$4,002.93", , ,90
35536,3424.34, , , , ,90
35537,"$4,164.39", , , , ,90
35538,"$4,652.65", , , , ,90
35539,"$4,,372.76", , , , ,90
35540,$4873.92, , , , ,90
35556,2725.48, , , , ,90
35558,2330.56, , , , ,90
35560,3368.26, , , , ,90
35563,1761.73, , , , ,90
35565,2514.21, , , , ,90
35566,3252.06, , , , ,90
35570, , ,"$3,091.34", , ,90
35571,2872.57, , , , ,90
35572,711.03, , , , ,0
35583,2906.70, , , , ,90
35585,3351.19, , , , ,90
35587,3072.47, , , , ,90
35600,546.31, , , , ,90
35601,2778.30, , , , ,90
35606,2784.81, , , , ,90
35612,2481.70, , , , ,90
35616,2489.02, , , , ,90
35621,2420.77, , , , ,90
35623,1873.88, , , , ,90
35626,3405.63, , , , ,90
35631,3265.06, , , , ,90
35633, , ,"$4,103.89", , ,90
35634, , ,"$3,719.06", , ,90
35636,2746.62, , , , ,90
35637,"$3,316.00", , , , ,90
35638,"$3,368.26", , , , ,90
35642,2152.60, , , , ,90
35645,2168.05, , , , ,90
35646,3806.26, , , , ,90
35647,2988.57, , , , ,90
35650,2381.75, , , , ,90
35654,3169.17, , , , ,90
35656,2522.33, , , , ,90
35661,2157.48, , , , ,90
35663,2349.24, , , , ,90
