CPTCode,Total,OFF,FAC,TC27,PC26
83520,$36.00, , , , 
83525,$33.23, , , , 
83527,$33.23, , , , 
83528,$44.30, , , , 
83540,$12.19, , , , 
83550,$16.61, , , , 
83570,$20.50, , , , 
83582,$34.90, , , , 
83586,$34.34, , , , 
83593,$75.33, , , , 
83605,$27.70, , , , 
83615,$11.63, , , , 
83625,$34.34, , , , 
83630,BR, , ,BR,BR
83631,BR, , ,BR,BR
83632,$54.83, , , , 
83633,$10.53, , , , 
83655,$22.16, , , , 
83661,$73.66, , , , 
83662,$21.60, , , , 
83663,BR, , ,BR,BR
83664,BR, , ,BR,BR
83670,$31.01, , , , 
83690,$19.94, , , , 
83695,BR, , ,BR,BR
83698,BR, , ,BR,BR
83700,BR, , ,BR,BR
83701,BR, , ,BR,BR
83704,BR, , ,BR,BR
83718,$17.17, , , , 
83719,$17.73, , , , 
83721,$17.17, , , , 
83727,$47.07, , , , 
83735,$12.74, , , , 
83775,$19.94, , , , 
83785,$51.50, , , , 
83788,BR, , ,BR,BR
83789,BR, , ,BR,BR
83825,$44.30, , , , 
83835,$44.30, , , , 
83857,$25.47, , , , 
83861,BR, , ,BR,BR
83864,$25.47, , , , 
83872,$9.41, , , , 
83873,$47.07, , , , 
83874,$38.77, , , , 
83876,BR, , ,BR,BR
83880,$74.94, , , , 
83883,$31.57, , , , 
83885,$45.97, , , , 
83915,$27.70, , , , 
83916,$40.99, , , , 
83918,$64.24, , , , 
83919,BR, , ,BR,BR
83921,BR, , ,BR,BR
83930,$8.30, , , , 
83935,$21.60, , , , 
83937,$61.47, , , , 
83945,$31.01, , , , 
83950,$140.64, , , , 
83951,BR, , ,BR,BR
83970,$68.67, , , , 
83986,$7.90, , , , 
83987,BR, , ,BR,BR
83992,$32.45, , , , 
83993,BR, , ,BR,BR
84030,$12.19, , , , 
84035,$8.30, , , , 
84060,$21.60, , , , 
84061,$23.81, , , , 
84066,$28.24, , , , 
84075,$11.63, , , , 
84078,$21.04, , , , 
84080,$37.10, , , , 
84081,$51.50, , , , 
84085,$22.16, , , , 
84087,$23.81, , , , 
84100,$11.07, , , , 
84105,$12.19, , , , 
84106,$16.06, , , , 
84110,$21.60, , , , 
8411,BR, , ,BR,BR
84119,$22.16, , , , 
84120,$34.34, , , , 
84126,$38.77, , , , 
84132,$11.07, , , , 
84133,$12.19, , , , 
84134,$25.47, , , , 
84135,$42.64, , , , 
84138,$42.64, , , , 
84140,$51.50, , , , 
84143,$51.50, , , , 
84144,$42.64, , , , 
84145,BR, , ,BR,BR
84146,$42.64, , , , 
84150,$47.07, , , , 
84152,BR, , ,BR,BR
84153,$42.64, , , , 
84154,BR, , ,BR,BR
84155,$13.84, , , , 
84156,$8.09, , , , 
84157,$8.09, , , , 
84160,$8.30, , , , 
84163,BR, , ,BR,BR
84165,$31.01, , ,$24.81,$6.20
84166,$37.57, , ,$0.00,$37.57
84181,$47.07, , ,$32.95,$14.12
84182,$68.67, , ,$48.07,$20.60
84202,$27.70, , , , 
84203,$14.96, , , , 
84206,$64.24, , , , 
84207,$64.24, , , , 
84210,$37.10, , , , 
84220,$21.60, , , , 
84228,$34.34, , , , 
84233,$68.67, , , , 
84234,$68.67, , , , 
84235,$68.67, , , , 
84238,$85.84, , , , 
84244,$54.83, , , , 
84252,$36.00, , , , 
84255,$42.64, , , , 
84260,$78.64, , , , 
84270,$45.42, , , , 
84275,$27.70, , , , 
84285,$58.16, , , , 
84295,$11.07, , , , 
84300,$12.19, , , , 
84302,$6.79, , , , 
84305,$64.24, , , , 
84307,$47.07, , , , 
84311,$15.44, , , , 
84315,$6.10, , , , 
84375,$34.34, , , , 
84376,BR, , ,BR,BR
84377,BR, , ,BR,BR
84378,BR, , ,BR,BR
84379,BR, , ,BR,BR
84392,BR, , ,BR,BR
84402,$48.74, , , , 
84403,$40.43, , , , 
84425,$47.07, , , , 
84430,$29.90, , , , 
84431,BR, , ,BR,BR
84432,$42.64, , , , 
84436,$17.17, , , , 
84437,$17.17, , , , 
84439,$25.47, , , , 
84442,$29.90, , , , 
84443,$38.77, , , , 
84445,$111.33, , , , 
84446,$34.34, , , , 
84449,$40.99, , , , 
84450,$12.19, , , , 
84460,$12.19, , , , 
84466,$29.90, , , , 
84478,$12.19, , , , 
84479,$15.50, , , , 
84480,$34.34, , , , 
84481,$45.42, , , , 
84482,$38.77, , , , 
84484,BR, , ,BR,BR
84485,$17.17, , , , 
84488,$11.07, , , , 
84490,$12.74, , , , 
84510,$22.16, , , , 
84512,BR, , ,BR,BR
84520,$11.63, , , , 
84525,$8.30, , , , 
84540,$12.19, , , , 
84545,$17.17, , , , 
84550,$11.63, , , , 
84560,$12.19, , , , 
84577,$17.17, , , , 
84578,$7.76, , , , 
84580,$16.06, , , , 
84583,$7.76, , , , 
84585,$42.64, , , , 
84586,$65.90, , , , 
84588,$70.34, , , , 
84590,$34.34, , , , 
84591,BR, , ,BR,BR
84597,$39.33, , , , 
84600,$29.90, , , , 
84620,$34.34, , , , 
84630,$34.34, , , , 
84681,$51.50, , , , 
84702,$34.34, , , , 
84703,$19.94, , , , 
84704,BR, , ,BR,BR
84830,$21.60, , , , 
84999,BR, , ,BR,BR
85002,$17.73, , , , 
85004,$9.04, , , , 
85007,$9.97, , , , 
85008,$6.64, , , , 
85009,$10.53, , , , 
85013,$7.76, , , , 
85014,$7.76, , , , 
85018,$7.76, , , , 
85025,$16.06, , , , 
85027,$14.96, , , , 
85032,$6.01, , , , 
85041,$7.20, , , , 
85044,$12.74, , , , 
85045,$12.19, , , , 
85046,BR, , ,BR,BR
85048,$8.30, , , , 
85049,$6.25, , , , 
85055,$59.11, , , , 
85060,$35.44, , , , 
85097,$75.33, , ,$15.07,$60.26
85130,$25.47, , , , 
85170,$8.86, , , , 
85175,$17.17, , , , 
85210,$25.47, , , , 
85220,$51.50, , , , 
85230,$51.50, , , , 
85240,$55.94, , , , 
85244,$68.67, , , , 
85245,$42.64, , , , 
85246,$68.67, , , , 
85247,$68.67, , , , 
85250,$55.94, , , , 
85260,$51.50, , , , 
85270,$55.94, , , , 
85280,$55.94, , , , 
85290,$42.64, , , , 
85291,$24.93, , , , 
85292,$51.50, , , , 
85293,$51.50, , , , 
85300,$41.54, , , , 
85301,$42.64, , , , 
85302,$47.07, , , , 
85303,$51.50, , , , 
85305,$55.94, , , , 
85306,$55.94, , , , 
85307,BR, , ,BR,BR
85335,$23.26, , , , 
85337,$42.64, , , , 
85345,$8.30, , , , 
85347,$8.30, , , , 
85348,$13.84, , , , 
85360,$27.70, , , , 
85362,$18.83, , , , 
85366,$27.70, , , , 
85370,$27.70, , , , 
85378,$22.16, , , , 
85379,$25.47, , , , 
85380,$12.87, , , , 
85384,$17.17, , , , 
85385,$21.60, , , , 
85390,$21.60, , ,$10.80,$10.80
85396,$32.63, , , , 
85397,BR, , ,BR,BR
85400,$40.99, , , , 
85410,$40.99, , , , 
85415,$31.57, , , , 
85420,$40.99, , , , 
85421,$51.50, , , , 
85441,$7.76, , , , 
85445,$12.19, , , , 
85460,$23.26, , , , 
85461,$23.26, , , , 
85475,$29.36, , , , 
85520,$34.34, , , , 
85525,$34.34, , , , 
85530,$34.34, , , , 
85536,BR, , ,BR,BR
85540,$21.60, , , , 
85547,$19.94, , , , 
85549,$43.76, , , , 
85555,$16.06, , , , 
85557,$42.64, , , , 
85576,$42.64, , ,$34.11,$8.53
85597,$29.90, , , , 
8559,BR, , ,BR,BR
85610,$12.19, , , , 
85611,$12.74, , , , 
85612,$23.81, , , , 
85613,$28.24, , , , 
85635,$17.17, , , , 
85651,$10.53, , , , 
85652,BR, , ,BR,BR
85660,$12.19, , , , 
85670,$15.50, , , , 
85675,$17.73, , , , 
85705,$32.67, , , , 
85730,$14.40, , , , 
85732,$17.17, , , , 
85810,$19.94, , , , 
85999,BR, , ,BR,BR
86000,$19.94, , ,$19.94,$0.00
86001,BR, , ,BR,BR
86003,$111.33, , , , 
86005,$42.64, , , , 
86021,$51.50, , , , 
86022,$78.10, , , , 
86023,$42.64, , , , 
86038,$29.90, , , , 
86039,$29.90, , , , 
86060,$20.50, , , , 
86063,$15.50, , , , 
86077,$35.44, , , , 
86078,$68.13, , , , 
86079,$37.10, , , , 
86140,$16.06, , , , 
86141,$28.27, , , , 
86146,BR, , ,BR,BR
86147,$59.82, , , , 
86148,BR, , ,BR,BR
86152,BR, , ,BR,BR
86153,BR, , ,BR,BR
86155,$23.26, , , , 
86156,$15.50, , , , 
86157,$19.94, , , , 
86160,$37.66, , , , 
86161,$37.66, , , , 
86162,$53.17, , , , 
86171,$24.93, , , , 
86185,$23.81, , , , 
86215,$33.23, , , , 
86225,$37.10, , , , 
86226,$37.10, , , , 
86235,$32.67, , , , 
86243,$40.43, , , , 
86255,$29.90, , , , 
86256,$37.10, , , , 
86277,$29.90, , , , 
86280,$24.93, , , , 
86294,BR, , ,BR,BR
86300,BR, , ,BR,BR
86301,BR, , ,BR,BR
86304,BR, , ,BR,BR
86305,BR, , ,BR,BR
86308,$14.40, , , , 
86309,$20.50, , , , 
86310,$21.60, , , , 
86316,$44.30, , , , 
86317,$20.50, , , , 
86318,$20.50, , , , 
86320,$53.73, , ,$42.98,$10.75
86325,$55.94, , ,$44.75,$11.19
86327,$42.64, , ,$34.11,$8.53
86329,$40.99, , , , 
